substance,temperature,density,pressure,error_pressure
C1,400.0,24.599414000000003,5000428.726,6733.668877318488
C1,400.0,49.737127,10015801.62,11023.600060421644
C1,400.0,74.64820099999999,14923101.32,32895.75492742524
C1,400.0,98.537633,19923302.08,81268.11521116039
C1,400.0,120.83221000000002,24885440.14,74719.44074306
C1,400.0,141.07650000000007,30050717.22,128470.83656786504
C1,400.0,159.32756199999997,34692005.26,158435.49269757626
C1,400.0,175.72712499999997,40109935.96,196658.3110207353
C1,400.0,190.329092,44806906.28,185952.4779890877
C1,400.0,203.437559,50026392.96,328559.38812776183
C1,400.0,215.2962990000001,54911057.42,366697.4033583535
C1,400.0,226.007862,60069920.18,452537.8579191714
C1,400.0,235.82469899999992,64439488.7,474014.6675576916
C1,400.0,244.828506,70158023.48,412019.2022382119
C1,400.0,253.1670760000001,75006540.32,456426.827777735
C1,400.0,260.8813920000001,80357587.32,369006.82444148615
C1,400.0,268.0424469999999,85726404.94,647899.9468020006
C1,400.0,274.749085,90243384.72,526328.9155708827
C1,400.0,280.940725,96426974.08,703051.859639089
C1,400.0,286.9392589999999,99331554.52,484596.8401801093
C2,400.0,53.09592999999998,5059759.852,17505.01843402108
C2,400.0,126.246269,10133050.586,89058.79974100295
C2,400.0,205.70801500000005,15430217.215,244086.11771470128
C2,400.0,262.4264739999999,20176982.517,240208.7713014552
C2,400.0,299.3531670000001,25333845.046,392340.116356305
C2,400.0,325.6690349999999,30716886.47,315200.49792755983
C2,400.0,345.529375,36987096.44,442143.0893067899
C2,400.0,361.6954320000001,41325783.67,421052.0248568461
C2,400.0,375.5288110000001,47561147.76,609208.1625411083
C2,400.0,387.1656990000001,52842689.71,565535.2645094383
C2,400.0,397.4830309999999,59072430.14,579996.2403807165
C2,400.0,406.620218,64312697.49,578899.5637272805
C2,400.0,414.7670049999999,70868181.66,565046.898874364
C2,400.0,422.4814120000001,75378041.47,745375.7858317161
C3,450.0,76.27878199999999,5124028.703602991,28942.4822074246
C3,450.0,202.78994400000005,10437508.315771583,152329.4219320265
C3,450.0,296.27380200000005,15811772.042182188,261014.4231575145
C3,450.0,343.326572,20990516.76123705,439628.9799425728
C3,450.0,373.09698800000007,26516500.78450033,490612.1214892067
C3,450.0,394.881116,31747228.851869475,439336.323489708
C3,450.0,411.7149129999999,36701400.98613189,487925.8748556504
C3,450.0,425.877458,42551426.32766825,429565.5457392234
C3,450.0,438.293918,47605581.12644459,587420.735788782
C3,450.0,448.718025,54125308.50441876,487599.8140192278
C3,450.0,458.384228,59130056.49218219,483720.8867790895
C3,450.0,466.8385779999999,65988889.70088375,605225.4899581934
C3,450.0,474.7403000000001,70301307.94017676,461265.80115619255
C3,450.0,481.6557510000002,75696601.3800136,706985.7566984771
C3,450.0,488.3108849999999,81041987.21278042,619913.1942876909
C3,450.0,494.687008,86954883.09993201,624956.7652587548
C3,450.0,500.3574920000001,91906982.40652618,636794.7312130061
C3,450.0,506.114974,97761650.9993202,716973.5503740254
C3,450.0,511.1204710000001,106025379.53772944,766494.8849209615
C3,450.0,516.192191,108076289.83684568,492039.0208686072
C4,450.0,181.464499,5226436.445987,137387.69363946564
C4,450.0,381.8499620000001,11384913.0476985,357037.4288019477
C4,450.0,421.4912279999999,16812649.751987997,444954.4408731976
C4,450.0,446.0248929999999,22554269.456525,421516.64379364025
C4,450.0,464.19319199999984,28913132.22644,584096.9060256357
C4,450.0,478.6664609999999,34278085.935150005,664990.7062661417
C4,450.0,490.9224750000001,39634331.28455,621077.0369626827
C4,450.0,501.112905,46283927.0935,800684.6013159397
C4,450.0,510.7387,51542901.217,644413.8173843557
C4,450.0,526.7477179999998,62240214.5,891471.2525053672
C5,500.0,234.959144,5317089.7564372,136137.36293638588
C5,500.0,393.848336,10789443.631984,500145.69229933305
C5,500.0,433.578698,16359601.345768,619176.6304099396
C5,500.0,458.02169300000014,25020052.833768,557938.6868981866
C5,500.0,476.5063790000001,30893118.466419995,751829.5421117424
C5,500.0,491.1286,44107716.82196,666084.6838552817
C5,500.0,503.426749,44775488.75148,710658.2481609737
C5,500.0,513.9907629999999,52891616.78344,1090850.429373623
C5,500.0,523.5329659999999,57694564.3816,1246287.801786598
C5,500.0,531.9649559999999,77979162.008,847843.3280096971
C5,500.0,539.6635349999999,72287807.828,712711.8220712004
C5,500.0,547.045551,78693327.948,831174.044942359
C5,500.0,559.8110139999999,101586689.804,1367201.6865812878
C5,500.0,565.1256409999999,97098503.572,848616.610327708
C5,500.0,570.5077540000001,106557894.412,760030.6859243948
C5,500.0,580.9740030000003,108626436.128,794487.4702335353
C5,500.0,585.5379329999998,127256880.556,1150954.191651116
C5,550.0,118.888863,5165118.453492,45119.43626356547
C5,550.0,301.57721,10319995.4071904,227452.80363119644
C5,550.0,370.7604280000001,15858011.536848,349718.5125038212
C5,550.0,407.0540219999999,22259981.05043,459047.847114649
C5,550.0,431.87572,27872737.10716,552864.6105154031
C5,550.0,450.75164400000006,40315635.38128,857674.0569971517
C5,550.0,466.200461,51113353.0396,833110.2137523558
C5,550.0,479.227785,51800082.3244,769433.324710599
C5,550.0,490.725595,64545385.4016,695942.473798344
C5,550.0,500.520774,61663114.4552,789797.3576697407
C5,550.0,509.7300159999998,67847112.784,624670.4726478197
C5,550.0,517.8661309999999,78325235.46,752189.4736650069
C5,550.0,525.7345320000001,81538663.252,999299.559479666
C5,550.0,532.413745,88722198.328,1261642.7965745146
C5,550.0,539.206581,89308616.264,1051157.7024044057
C5,550.0,545.1874870000001,110079009.94,1367938.2353327072
C5,550.0,561.7358640000001,121009326.432,992316.8285293434
C5,550.0,566.5867520000002,128613385.588,1066329.6352035264
C5,600.0,92.61334100000002,5143341.0016,31869.97421122142
C5,600.0,222.027265,10607414.912984,132268.1291164002
C5,600.0,309.93602400000003,15965133.426836,304270.8208162011
C5,600.0,357.5041580000001,21014788.785824,331818.8817947037
C5,600.0,388.78506,27643409.2066628,403881.1871895145
C5,600.0,412.1184,32502912.91216,473081.5043710867
C5,600.0,430.5197529999999,37557884.7532,513586.6684524705
C5,600.0,446.108439,44259513.3376,519198.24412076967
C5,600.0,459.4944309999999,49469785.2888,797136.8178509442
C5,600.0,471.125073,63164937.364,565866.2821925622
C5,600.0,481.1843469999999,69800889.988,1036229.8686629254
C5,600.0,490.725595,69643529.772,1021275.0455689516
C5,600.0,499.2822029999999,74386592.588,791810.92960199
C5,600.0,507.19615200000015,98310649.744,957416.6307881892
C5,600.0,514.4194459999999,89667114.352,885501.4673608291
C5,600.0,520.9072840000001,89325486.868,911029.338223751
C5,600.0,527.5046800000001,107197906.332,1404711.1102309546
C5,600.0,533.312839,115341903.1,1248164.050094623
C5,600.0,539.206581,127945050.74,1117706.9218115483
